timestamp,x,y,raw_x,raw_y
1741945287171,473.2000,466.0000,526.0000,516.0000
1741945287198,505.0000,496.2000,548.0000,537.0000
1741945287226,492.6000,484.2000,468.0000,461.0000
1741945287252,483.8000,475.8000,473.0000,465.0000
1741945287279,491.2000,482.8000,441.0000,435.0000
1741945287306,484.4000,476.6000,492.0000,485.0000
1741945287332,471.8000,464.6000,485.0000,477.0000
1741945287359,471.4000,464.2000,466.0000,459.0000
1741945287386,465.2000,458.4000,442.0000,436.0000
1741945287414,465.6000,459.0000,443.0000,438.0000
1741945287441,456.0000,449.8000,444.0000,439.0000
1741945287484,448.6000,442.8000,448.0000,442.0000
1741945287518,454.0000,448.0000,493.0000,485.0000
1741945287545,461.6000,455.2000,480.0000,472.0000
1741945287573,478.2000,470.8000,526.0000,516.0000
1741945287620,494.8000,486.2000,527.0000,516.0000
1741945287647,510.6000,501.0000,527.0000,516.0000
1741945287683,512.2000,502.6000,501.0000,493.0000
1741945287709,516.2000,506.2000,500.0000,490.0000
1741945287735,511.4000,501.6000,502.0000,493.0000
1741945287764,497.2000,488.4000,456.0000,450.0000
1741945287791,484.0000,476.2000,461.0000,455.0000
1741945287818,479.4000,471.8000,478.0000,471.0000
1741945287844,467.4000,460.6000,440.0000,434.0000
1741945287870,470.6000,463.8000,518.0000,509.0000
1741945287897,483.2000,475.8000,519.0000,510.0000
1741945287920,488.4000,480.6000,487.0000,479.0000
1741945287949,477.0000,469.6000,421.0000,416.0000
1741945287982,469.4000,462.4000,402.0000,398.0000
1741945288008,452.4000,446.0000,433.0000,427.0000
1741945288035,439.0000,433.0000,452.0000,445.0000
1741945288062,424.6000,419.4000,415.0000,411.0000
1741945288089,424.6000,419.8000,421.0000,418.0000
1741945288115,431.6000,426.6000,437.0000,432.0000
1741945288149,422.2000,418.0000,386.0000,384.0000
1741945288182,408.4000,405.0000,383.0000,380.0000
1741945288215,402.6000,399.4000,386.0000,383.0000
1741945288249,397.4000,394.4000,395.0000,393.0000
1741945288282,374.6000,372.8000,323.0000,324.0000
1741945288317,372.8000,371.0000,377.0000,375.0000
1741945288350,369.6000,368.2000,367.0000,366.0000
1741945288383,357.2000,356.6000,324.0000,325.0000
1741945288417,357.8000,357.0000,398.0000,395.0000
1741945288450,352.6000,352.2000,297.0000,300.0000
1741945288484,355.8000,355.4000,393.0000,391.0000
1741945288516,350.2000,350.0000,339.0000,339.0000
1741945288550,356.2000,355.6000,354.0000,353.0000
1741945288583,335.0000,335.2000,292.0000,293.0000
1741945288619,340.8000,340.2000,326.0000,325.0000
1741945288650,300.6000,301.6000,192.0000,198.0000
1741945288683,292.6000,293.8000,299.0000,300.0000
1741945288710,267.0000,269.2000,226.0000,230.0000
1741945288731,268.2000,270.4000,298.0000,299.0000
1741945288757,280.2000,282.0000,386.0000,383.0000
1741945288784,309.8000,310.2000,340.0000,339.0000
1741945288816,319.0000,319.0000,345.0000,344.0000
1741945288843,344.8000,343.8000,355.0000,354.0000
1741945288871,369.2000,367.0000,420.0000,415.0000
1741945288898,401.2000,335.0000,546.0000,223.0000
1741945288931,455.0000,313.2000,609.0000,230.0000
1741945288967,509.8000,299.0000,619.0000,273.0000
1741945289003,553.4000,279.0000,573.0000,254.0000
1741945289033,565.0000,241.8000,478.0000,229.0000
1741945289064,553.2000,245.4000,487.0000,241.0000
1741945289094,534.8000,265.2000,517.0000,329.0000
1741945289133,500.8000,251.2000,449.0000,203.0000
1741945289167,499.0000,252.0000,564.0000,258.0000
1741945289195,490.4000,255.2000,435.0000,245.0000
1741945289222,486.8000,251.0000,469.0000,220.0000
1741945289247,502.0000,247.0000,593.0000,309.0000
1741945289274,524.0000,268.2000,559.0000,309.0000
1741945289296,519.4000,286.0000,541.0000,347.0000
1741945289320,544.2000,312.0000,559.0000,375.0000
1741945289343,551.6000,323.2000,506.0000,276.0000
1741945289371,543.2000,323.6000,551.0000,311.0000
1741945289397,542.0000,309.2000,553.0000,237.0000
1741945289432,550.4000,295.6000,583.0000,279.0000
1741945289463,569.4000,280.8000,654.0000,301.0000
1741945289500,597.4000,296.8000,646.0000,356.0000
1741945289536,598.6000,288.6000,557.0000,270.0000
1741945289563,605.2000,285.8000,586.0000,223.0000
1741945289597,602.4000,279.4000,569.0000,247.0000
1741945289636,597.8000,272.2000,631.0000,265.0000
1741945289667,593.4000,250.6000,624.0000,248.0000
1741945289703,596.0000,243.6000,570.0000,235.0000
1741945289730,600.2000,247.2000,607.0000,241.0000
1741945289764,627.8000,254.6000,707.0000,284.0000
1741945289801,627.0000,250.8000,627.0000,246.0000
1741945289838,651.4000,264.4000,746.0000,316.0000
1741945289869,685.8000,275.4000,742.0000,290.0000
1741945289903,707.2000,278.4000,714.0000,256.0000
1741945289934,715.6000,266.4000,749.0000,224.0000
1741945289971,738.8000,276.4000,743.0000,296.0000
1741945289999,725.8000,278.6000,681.0000,327.0000
1741945290037,697.8000,280.6000,602.0000,300.0000
1741945290069,682.8000,284.6000,639.0000,276.0000
1741945290104,683.8000,299.4000,754.0000,298.0000
1741945290134,659.4000,291.4000,621.0000,256.0000
1741945290170,670.6000,290.2000,737.0000,321.0000
1741945290201,700.4000,294.0000,751.0000,319.0000
1741945290237,708.2000,316.8000,678.0000,390.0000
1741945290265,689.0000,310.2000,658.0000,265.0000
1741945290301,702.8000,317.0000,690.0000,290.0000
1741945290337,697.0000,312.8000,708.0000,300.0000
1741945290367,677.0000,304.6000,651.0000,278.0000
1741945290411,678.6000,291.2000,686.0000,323.0000
1741945290449,699.6000,303.0000,763.0000,324.0000
1741945290483,691.4000,302.0000,649.0000,285.0000
1741945290516,690.0000,311.6000,701.0000,348.0000
1741945290551,701.0000,322.6000,706.0000,333.0000
1741945290582,683.2000,333.4000,597.0000,377.0000
1741945290619,634.0000,341.0000,517.0000,362.0000
1741945290648,639.4000,360.4000,676.0000,382.0000
1741945290682,621.4000,360.2000,611.0000,347.0000
1741945290721,597.8000,370.2000,588.0000,383.0000
1741945290747,601.0000,375.0000,613.0000,401.0000
1741945290787,618.0000,387.8000,602.0000,426.0000
1741945290817,616.6000,405.8000,669.0000,472.0000
1741945290854,629.0000,416.6000,673.0000,401.0000
1741945290884,632.2000,422.4000,604.0000,412.0000
1741945290921,655.6000,427.4000,730.0000,426.0000
1741945290946,669.4000,427.4000,671.0000,426.0000
1741945290983,679.8000,417.8000,721.0000,424.0000
1741945291010,680.4000,424.0000,676.0000,432.0000
1741945291038,693.8000,429.4000,671.0000,439.0000
